X,Y,Z,Energy
1505,174,410,41718
-1125,364,497,62290
174,-1695,156,298166
-934,1125,975,423900
-174,364,604,428876
-554,174,191,240279
1885,-364,601,37732
1505,174,92,56057
1885,-364,440,32801
1315,554,990,158489
934,1505,941,651246
-1068,794,308,659709
1885,-364,378,33428
1861,-364,996,352968
1695,1885,626,196635
1695,1505,142,234496
-1695,1885,290,173822
1505,174,80,49990
1125,-364,359,115477
1505,174,990,42046
1505,174,953,46308
1505,174,994,43530
1505,174,986,45756
676,-515,379,520071
1125,-364,442,167187
-1885,1315,916,208709
174,934,558,185004
364,1315,278,476065
-1315,1695,78,174337
-1315,364,109,144870
1125,1505,798,254666
2075,174,632,384090
-174,364,66,151825
1505,-1885,959,187455
174,-1315,453,180209
1885,-744,440,243222
-1885,744,292,182556
174,744,463,142271
-1315,174,87,90116
1885,1505,130,58996
174,934,215,775946
-174,1315,286,266936
-934,757,851,652264
554,1315,882,102444
1885,-364,635,33496
1885,-364,718,33458
1885,-364,365,34711
1885,-364,523,35511
1885,-364,593,37518
1125,-2076,685,229060
1885,-364,369,43216
-1382,554,923,263812
-744,1125,460,162747
1885,-364,570,33351
1885,-364,302,32845
1885,-364,149,38720
1885,-364,635,33496
1885,-364,639,39082
1885,-364,556,33351
-1315,744,733,662021
1315,-1505,658,168900
1505,174,631,647933
1885,-364,603,33770
174,-2076,981,144005
1695,-934,528,42616
1885,-364,341,33144
1885,-364,284,33495
1885,-364,428,33738
1885,-364,529,32430
1885,-364,982,32130
1885,-364,980,32363
1885,-364,988,35159
1885,-364,996,34460
744,-364,977,122378
1885,-364,998,33062
1885,-364,992,34926
1885,-1505,978,134227
-364,1695,447,62358
-744,2076,983,93641
-1695,2076,80,293507
-744,1505,394,111799
1315,1505,378,269673
1315,934,696,114861
-1695,1695,300,34691
1885,-554,980,656645
-1695,364,344,35935
-554,934,480,307190
1125,-1505,978,86313
1125,-1674,957,437836
1695,1695,959,634154
744,1885,983,77932
364,-1125,991,169411
-2076,1125,659,236218
-1505,1885,887,530920
-1885,-554,998,27099
934,2076,147,144141
-1695,1315,785,56473
1505,-174,980,293893
2075,554,378,351734
744,-174,992,141939
744,1125,989,48262
174,-1885,997,352161
174,364,207,209404
554,1885,834,237509
1125,-744,999,632559
1315,1568,741,375383
1885,934,867,159886
2076,-1315,986,87787
1125,-2076,975,125964
-1125,554,984,468058
1505,174,83,49990
1505,-1885,981,299950
863,-1315,960,218567
-1125,744,579,41036
-1125,1885,838,434043
934,1505,838,64427
1505,1695,186,255483
-744,1125,907,185892
1885,-364,977,36090
1885,-364,980,32829
1505,174,80,49990
174,2076,116,215025
1695,1914,611,663106
1695,2076,676,217856
-364,1505,355,428845
-364,1885,985,108225
934,1125,276,267494
-554,1125,246,250055
364,-2076,988,149907
990,1125,548,654194
-1695,1505,848,644516
1885,1315,995,80643
1018,1315,152,221617
435,-1315,960,107834
554,934,212,404408
-1125,1695,444,178254
364,-1505,992,216040
364,-1695,978,405837
1505,2076,457,169268
1125,-744,994,658332
1195,1885,823,309557
744,174,511,103427
-364,2076,869,168650
744,744,162,174571
-174,364,91,346418
174,364,716,118376
1505,301,583,346634
-1315,2076,411,200168
-744,2076,368,105457
174,1965,334,182449
2076,-934,986,134307
-364,2076,155,62766
-1505,1125,694,135241
1315,-1315,992,154473
554,364,354,202689
1505,-364,982,120006
-554,1125,107,185191
744,934,540,441479
1885,-364,572,35684
2076,-174,121,84023
554,1125,317,227283
2076,-174,77,112343
2075,1315,856,661465
2076,-1125,898,166725
1885,-364,999,177490
744,-174,332,322629
744,-174,716,429999
-1125,934,76,171404
-2076,934,897,58433
364,-1125,985,345095
364,934,488,207654
1885,744,993,111407
554,-1505,264,67229
1315,-2076,150,67989
-554,2076,475,274267
-2076,744,161,276360
-554,364,51,198832
554,2076,660,77840
-174,1885,647,385878
934,-554,711,183236
-2076,1885,862,217635
2075,934,369,295853
934,1125,442,237136
-174,744,987,63814
1695,-1505,488,49314
-554,554,518,38111
-2076,744,704,179130
-744,1505,574,165695
1505,174,992,88537
1505,174,981,74936
1505,174,998,58615
1505,174,767,73964
-554,1885,865,98912
-1125,934,758,209510
1505,174,495,56039
1505,174,848,51272
1505,174,440,50993
1505,174,868,53581
1505,174,939,42851
1505,174,962,42878
1505,174,206,44843
1505,174,932,41627
1505,174,999,41799
1505,174,825,52737
1505,174,260,48199
554,-2076,118,349207
1505,174,979,45014
1505,174,582,49987
1505,174,919,47929
1505,174,468,41563
1505,174,182,48739
1505,174,883,45499
1505,174,323,53541
1505,174,92,52879
1505,174,324,44285
1505,174,368,49378
1505,174,91,53457
1505,174,201,45879
1505,174,88,49412
1505,174,294,47326
1505,174,543,58098
1505,174,81,51435
